record_id,event_data
1,"{""user_id"": 1, ""event"": ""purchase"", ""metadata"": {""device"": ""tablet"", ""location"": ""India"", ""time_spent_sec"": 80}}"
2,"{""user_id"": 2, ""event"": ""click"", ""metadata"": {""device"": ""tablet"", ""location"": ""UK"", ""time_spent_sec"": 36}}"
3,"{""user_id"": 3, ""event"": ""purchase"", ""metadata"": {""device"": ""mobile"", ""location"": ""Canada"", ""time_spent_sec"": 30}}"
4,"{""user_id"": 4, ""event"": ""login"", ""metadata"": {""device"": ""tablet"", ""location"": ""India"", ""time_spent_sec"": 18}}"
5,"{""user_id"": 5, ""event"": ""login"", ""metadata"": {""device"": ""desktop"", ""location"": ""Canada"", ""time_spent_sec"": 436}}"
6,"{""user_id"": 6, ""event"": ""login"", ""metadata"": {""device"": ""mobile"", ""location"": ""Canada"", ""time_spent_sec"": 235}}"
7,"{""user_id"": 7, ""event"": ""logout"", ""metadata"": {""device"": ""desktop"", ""location"": ""Canada"", ""time_spent_sec"": 326}}"
8,"{""user_id"": 8, ""event"": ""logout"", ""metadata"": {""device"": ""mobile"", ""location"": ""UK"", ""time_spent_sec"": 452}}"
9,"{""user_id"": 9, ""event"": ""logout"", ""metadata"": {""device"": ""mobile"", ""location"": ""Canada"", ""time_spent_sec"": 300}}"
10,"{""user_id"": 10, ""event"": ""purchase"", ""metadata"": {""device"": ""tablet"", ""location"": ""India"", ""time_spent_sec"": 253}}"
11,"{""user_id"": 11, ""event"": ""login"", ""metadata"": {""device"": ""desktop"", ""location"": ""India"", ""time_spent_sec"": 62}}"
12,"{""user_id"": 12, ""event"": ""purchase"", ""metadata"": {""device"": ""tablet"", ""location"": ""USA"", ""time_spent_sec"": 343}}"
13,"{""user_id"": 13, ""event"": ""purchase"", ""metadata"": {""device"": ""desktop"", ""location"": ""UK"", ""time_spent_sec"": 19}}"
14,"{""user_id"": 14, ""event"": ""login"", ""metadata"": {""device"": ""mobile"", ""location"": ""UK"", ""time_spent_sec"": 77}}"
15,"{""user_id"": 15, ""event"": ""click"", ""metadata"": {""device"": ""tablet"", ""location"": ""USA"", ""time_spent_sec"": 415}}"
16,"{""user_id"": 16, ""event"": ""purchase"", ""metadata"": {""device"": ""desktop"", ""location"": ""USA"", ""time_spent_sec"": 386}}"
17,"{""user_id"": 17, ""event"": ""logout"", ""metadata"": {""device"": ""desktop"", ""location"": ""USA"", ""time_spent_sec"": 476}}"
18,"{""user_id"": 18, ""event"": ""login"", ""metadata"": {""device"": ""desktop"", ""location"": ""Canada"", ""time_spent_sec"": 297}}"
19,"{""user_id"": 19, ""event"": ""purchase"", ""metadata"": {""device"": ""desktop"", ""location"": ""UK"", ""time_spent_sec"": 202}}"
20,"{""user_id"": 20, ""event"": ""login"", ""metadata"": {""device"": ""desktop"", ""location"": ""India"", ""time_spent_sec"": 280}}"
21,"{""user_id"": 21, ""event"": ""purchase"", ""metadata"": {""device"": ""tablet"", ""location"": ""UK"", ""time_spent_sec"": 250}}"
22,"{""user_id"": 22, ""event"": ""logout"", ""metadata"": {""device"": ""tablet"", ""location"": ""India"", ""time_spent_sec"": 367}}"
23,"{""user_id"": 23, ""event"": ""click"", ""metadata"": {""device"": ""mobile"", ""location"": ""USA"", ""time_spent_sec"": 148}}"
24,"{""user_id"": 24, ""event"": ""login"", ""metadata"": {""device"": ""mobile"", ""location"": ""UK"", ""time_spent_sec"": 15}}"
25,"{""user_id"": 25, ""event"": ""purchase"", ""metadata"": {""device"": ""mobile"", ""location"": ""USA"", ""time_spent_sec"": 98}}"
26,"{""user_id"": 26, ""event"": ""logout"", ""metadata"": {""device"": ""tablet"", ""location"": ""Canada"", ""time_spent_sec"": 138}}"
27,"{""user_id"": 27, ""event"": ""click"", ""metadata"": {""device"": ""tablet"", ""location"": ""UK"", ""time_spent_sec"": 499}}"
28,"{""user_id"": 28, ""event"": ""purchase"", ""metadata"": {""device"": ""tablet"", ""location"": ""UK"", ""time_spent_sec"": 332}}"
29,"{""user_id"": 29, ""event"": ""logout"", ""metadata"": {""device"": ""mobile"", ""location"": ""Canada"", ""time_spent_sec"": 168}}"
30,"{""user_id"": 30, ""event"": ""logout"", ""metadata"": {""device"": ""tablet"", ""location"": ""India"", ""time_spent_sec"": 449}}"
31,"{""user_id"": 31, ""event"": ""login"", ""metadata"": {""device"": ""tablet"", ""location"": ""India"", ""time_spent_sec"": 60}}"
32,"{""user_id"": 32, ""event"": ""purchase"", ""metadata"": {""device"": ""mobile"", ""location"": ""Canada"", ""time_spent_sec"": 438}}"
33,"{""user_id"": 33, ""event"": ""login"", ""metadata"": {""device"": ""desktop"", ""location"": ""UK"", ""time_spent_sec"": 392}}"
34,"{""user_id"": 34, ""event"": ""logout"", ""metadata"": {""device"": ""tablet"", ""location"": ""India"", ""time_spent_sec"": 253}}"
35,"{""user_id"": 35, ""event"": ""login"", ""metadata"": {""device"": ""tablet"", ""location"": ""India"", ""time_spent_sec"": 229}}"
36,"{""user_id"": 36, ""event"": ""login"", ""metadata"": {""device"": ""desktop"", ""location"": ""USA"", ""time_spent_sec"": 317}}"
37,"{""user_id"": 37, ""event"": ""purchase"", ""metadata"": {""device"": ""tablet"", ""location"": ""Canada"", ""time_spent_sec"": 26}}"
38,"{""user_id"": 38, ""event"": ""purchase"", ""metadata"": {""device"": ""desktop"", ""location"": ""USA"", ""time_spent_sec"": 242}}"
39,"{""user_id"": 39, ""event"": ""click"", ""metadata"": {""device"": ""mobile"", ""location"": ""UK"", ""time_spent_sec"": 439}}"
40,"{""user_id"": 40, ""event"": ""click"", ""metadata"": {""device"": ""mobile"", ""location"": ""USA"", ""time_spent_sec"": 98}}"
41,"{""user_id"": 41, ""event"": ""click"", ""metadata"": {""device"": ""desktop"", ""location"": ""India"", ""time_spent_sec"": 326}}"
42,"{""user_id"": 42, ""event"": ""purchase"", ""metadata"": {""device"": ""desktop"", ""location"": ""UK"", ""time_spent_sec"": 98}}"
43,"{""user_id"": 43, ""event"": ""purchase"", ""metadata"": {""device"": ""desktop"", ""location"": ""UK"", ""time_spent_sec"": 235}}"
44,"{""user_id"": 44, ""event"": ""purchase"", ""metadata"": {""device"": ""tablet"", ""location"": ""UK"", ""time_spent_sec"": 221}}"
45,"{""user_id"": 45, ""event"": ""logout"", ""metadata"": {""device"": ""tablet"", ""location"": ""Canada"", ""time_spent_sec"": 67}}"
46,"{""user_id"": 46, ""event"": ""purchase"", ""metadata"": {""device"": ""tablet"", ""location"": ""India"", ""time_spent_sec"": 121}}"
47,"{""user_id"": 47, ""event"": ""login"", ""metadata"": {""device"": ""desktop"", ""location"": ""USA"", ""time_spent_sec"": 392}}"
48,"{""user_id"": 48, ""event"": ""logout"", ""metadata"": {""device"": ""desktop"", ""location"": ""Canada"", ""time_spent_sec"": 350}}"
49,"{""user_id"": 49, ""event"": ""click"", ""metadata"": {""device"": ""desktop"", ""location"": ""UK"", ""time_spent_sec"": 190}}"
50,"{""user_id"": 50, ""event"": ""click"", ""metadata"": {""device"": ""desktop"", ""location"": ""India"", ""time_spent_sec"": 130}}"
51,"{""user_id"": 51, ""event"": ""click"", ""metadata"": {""device"": ""tablet"", ""location"": ""UK"", ""time_spent_sec"": 253}}"
52,"{""user_id"": 52, ""event"": ""purchase"", ""metadata"": {""device"": ""mobile"", ""location"": ""UK"", ""time_spent_sec"": 126}}"
53,"{""user_id"": 53, ""event"": ""click"", ""metadata"": {""device"": ""tablet"", ""location"": ""UK"", ""time_spent_sec"": 345}}"
54,"{""user_id"": 54, ""event"": ""click"", ""metadata"": {""device"": ""desktop"", ""location"": ""UK"", ""time_spent_sec"": 213}}"
55,"{""user_id"": 55, ""event"": ""logout"", ""metadata"": {""device"": ""tablet"", ""location"": ""UK"", ""time_spent_sec"": 248}}"
56,"{""user_id"": 56, ""event"": ""logout"", ""metadata"": {""device"": ""tablet"", ""location"": ""USA"", ""time_spent_sec"": 56}}"
57,"{""user_id"": 57, ""event"": ""purchase"", ""metadata"": {""device"": ""tablet"", ""location"": ""UK"", ""time_spent_sec"": 332}}"
58,"{""user_id"": 58, ""event"": ""login"", ""metadata"": {""device"": ""desktop"", ""location"": ""Canada"", ""time_spent_sec"": 485}}"
59,"{""user_id"": 59, ""event"": ""click"", ""metadata"": {""device"": ""tablet"", ""location"": ""India"", ""time_spent_sec"": 369}}"
60,"{""user_id"": 60, ""event"": ""purchase"", ""metadata"": {""device"": ""tablet"", ""location"": ""India"", ""time_spent_sec"": 484}}"
61,"{""user_id"": 61, ""event"": ""click"", ""metadata"": {""device"": ""tablet"", ""location"": ""Canada"", ""time_spent_sec"": 398}}"
62,"{""user_id"": 62, ""event"": ""login"", ""metadata"": {""device"": ""desktop"", ""location"": ""India"", ""time_spent_sec"": 480}}"
63,"{""user_id"": 63, ""event"": ""logout"", ""metadata"": {""device"": ""mobile"", ""location"": ""UK"", ""time_spent_sec"": 157}}"
64,"{""user_id"": 64, ""event"": ""login"", ""metadata"": {""device"": ""desktop"", ""location"": ""India"", ""time_spent_sec"": 394}}"
65,"{""user_id"": 65, ""event"": ""logout"", ""metadata"": {""device"": ""mobile"", ""location"": ""India"", ""time_spent_sec"": 500}}"
66,"{""user_id"": 66, ""event"": ""purchase"", ""metadata"": {""device"": ""tablet"", ""location"": ""USA"", ""time_spent_sec"": 251}}"
67,"{""user_id"": 67, ""event"": ""logout"", ""metadata"": {""device"": ""mobile"", ""location"": ""India"", ""time_spent_sec"": 25}}"
68,"{""user_id"": 68, ""event"": ""purchase"", ""metadata"": {""device"": ""mobile"", ""location"": ""India"", ""time_spent_sec"": 53}}"
69,"{""user_id"": 69, ""event"": ""login"", ""metadata"": {""device"": ""mobile"", ""location"": ""USA"", ""time_spent_sec"": 56}}"
70,"{""user_id"": 70, ""event"": ""purchase"", ""metadata"": {""device"": ""tablet"", ""location"": ""India"", ""time_spent_sec"": 44}}"
71,"{""user_id"": 71, ""event"": ""logout"", ""metadata"": {""device"": ""mobile"", ""location"": ""USA"", ""time_spent_sec"": 469}}"
72,"{""user_id"": 72, ""event"": ""click"", ""metadata"": {""device"": ""tablet"", ""location"": ""USA"", ""time_spent_sec"": 185}}"
73,"{""user_id"": 73, ""event"": ""logout"", ""metadata"": {""device"": ""desktop"", ""location"": ""Canada"", ""time_spent_sec"": 249}}"
74,"{""user_id"": 74, ""event"": ""logout"", ""metadata"": {""device"": ""mobile"", ""location"": ""UK"", ""time_spent_sec"": 442}}"
75,"{""user_id"": 75, ""event"": ""logout"", ""metadata"": {""device"": ""desktop"", ""location"": ""UK"", ""time_spent_sec"": 430}}"
76,"{""user_id"": 76, ""event"": ""purchase"", ""metadata"": {""device"": ""mobile"", ""location"": ""UK"", ""time_spent_sec"": 101}}"
77,"{""user_id"": 77, ""event"": ""purchase"", ""metadata"": {""device"": ""mobile"", ""location"": ""Canada"", ""time_spent_sec"": 291}}"
78,"{""user_id"": 78, ""event"": ""logout"", ""metadata"": {""device"": ""mobile"", ""location"": ""USA"", ""time_spent_sec"": 356}}"
79,"{""user_id"": 79, ""event"": ""purchase"", ""metadata"": {""device"": ""mobile"", ""location"": ""Canada"", ""time_spent_sec"": 82}}"
80,"{""user_id"": 80, ""event"": ""login"", ""metadata"": {""device"": ""tablet"", ""location"": ""USA"", ""time_spent_sec"": 282}}"
81,"{""user_id"": 81, ""event"": ""purchase"", ""metadata"": {""device"": ""mobile"", ""location"": ""USA"", ""time_spent_sec"": 72}}"
82,"{""user_id"": 82, ""event"": ""click"", ""metadata"": {""device"": ""tablet"", ""location"": ""India"", ""time_spent_sec"": 345}}"
83,"{""user_id"": 83, ""event"": ""click"", ""metadata"": {""device"": ""mobile"", ""location"": ""Canada"", ""time_spent_sec"": 236}}"
84,"{""user_id"": 84, ""event"": ""login"", ""metadata"": {""device"": ""tablet"", ""location"": ""UK"", ""time_spent_sec"": 173}}"
85,"{""user_id"": 85, ""event"": ""click"", ""metadata"": {""device"": ""mobile"", ""location"": ""UK"", ""time_spent_sec"": 457}}"
86,"{""user_id"": 86, ""event"": ""purchase"", ""metadata"": {""device"": ""mobile"", ""location"": ""Canada"", ""time_spent_sec"": 130}}"
87,"{""user_id"": 87, ""event"": ""logout"", ""metadata"": {""device"": ""tablet"", ""location"": ""India"", ""time_spent_sec"": 158}}"
88,"{""user_id"": 88, ""event"": ""login"", ""metadata"": {""device"": ""mobile"", ""location"": ""India"", ""time_spent_sec"": 317}}"
89,"{""user_id"": 89, ""event"": ""login"", ""metadata"": {""device"": ""tablet"", ""location"": ""Canada"", ""time_spent_sec"": 488}}"
90,"{""user_id"": 90, ""event"": ""logout"", ""metadata"": {""device"": ""tablet"", ""location"": ""USA"", ""time_spent_sec"": 163}}"
91,"{""user_id"": 91, ""event"": ""logout"", ""metadata"": {""device"": ""tablet"", ""location"": ""India"", ""time_spent_sec"": 296}}"
92,"{""user_id"": 92, ""event"": ""login"", ""metadata"": {""device"": ""mobile"", ""location"": ""India"", ""time_spent_sec"": 77}}"
93,"{""user_id"": 93, ""event"": ""click"", ""metadata"": {""device"": ""desktop"", ""location"": ""Canada"", ""time_spent_sec"": 129}}"
94,"{""user_id"": 94, ""event"": ""purchase"", ""metadata"": {""device"": ""desktop"", ""location"": ""UK"", ""time_spent_sec"": 343}}"
95,"{""user_id"": 95, ""event"": ""purchase"", ""metadata"": {""device"": ""mobile"", ""location"": ""USA"", ""time_spent_sec"": 127}}"
96,"{""user_id"": 96, ""event"": ""purchase"", ""metadata"": {""device"": ""desktop"", ""location"": ""USA"", ""time_spent_sec"": 158}}"
97,"{""user_id"": 97, ""event"": ""logout"", ""metadata"": {""device"": ""mobile"", ""location"": ""India"", ""time_spent_sec"": 490}}"
98,"{""user_id"": 98, ""event"": ""logout"", ""metadata"": {""device"": ""mobile"", ""location"": ""USA"", ""time_spent_sec"": 279}}"
99,"{""user_id"": 99, ""event"": ""logout"", ""metadata"": {""device"": ""desktop"", ""location"": ""USA"", ""time_spent_sec"": 253}}"
100,"{""user_id"": 100, ""event"": ""login"", ""metadata"": {""device"": ""tablet"", ""location"": ""India"", ""time_spent_sec"": 193}}"
