employee_id,name,department,salary,experience_years
1,Employee_1,It,30754,3
2,Employee_2,Finance,81729,5
3,Employee_3,Finance,49183,7
4,Employee_4,Sales,44222,0
5,Employee_5,Finance,38537,10
6,Employee_6,Finance,42424,13
7,Employee_7,Sales,67922,10
8,Employee_8,It,32992,3
9,Employee_9,Hr,68692,12
10,Employee_10,Sales,54443,9
11,Employee_11,Finance,56383,10
12,Employee_12,Sales,64108,10
13,Employee_13,Finance,31242,13
14,Employee_14,Finance,43003,0
15,Employee_15,Sales,43558,10
16,Employee_16,It,47820,7
17,Employee_17,Sales,84836,1
18,Employee_18,Sales,48597,13
19,Employee_19,Hr,85149,12
20,Employee_20,Sales,73219,0
21,Employee_21,Hr,62485,12
22,Employee_22,Hr,66980,0
23,Employee_23,Hr,49245,0
24,Employee_24,Sales,82646,11
25,Employee_25,Hr,59808,5
26,Employee_26,It,76567,7
27,Employee_27,Sales,55528,11
28,Employee_28,Hr,28871,0
29,Employee_29,It,67075,2
30,Employee_30,Hr,45625,1
31,Employee_31,It,34963,9
32,Employee_32,Hr,72881,15
33,Employee_33,Hr,78551,5
34,Employee_34,Finance,47961,3
35,Employee_35,Sales,50935,12
36,Employee_36,It,87019,5
37,Employee_37,Hr,26832,8
38,Employee_38,It,69755,9
39,Employee_39,Hr,78404,9
40,Employee_40,Finance,74519,9
41,Employee_41,It,68430,10
42,Employee_42,It,86435,3
43,Employee_43,It,38218,2
44,Employee_44,Hr,39888,10
45,Employee_45,It,67216,9
46,Employee_46,Sales,89872,10
47,Employee_47,Finance,85811,10
48,Employee_48,Sales,79236,6
49,Employee_49,It,77665,12
50,Employee_50,Finance,65850,1
51,Employee_51,Hr,72578,1
52,Employee_52,Sales,34128,9
53,Employee_53,Finance,80617,4
54,Employee_54,It,81489,5
55,Employee_55,Sales,79459,8
56,Employee_56,It,84070,3
57,Employee_57,Finance,51327,5
58,Employee_58,Finance,40959,7
59,Employee_59,Hr,64884,12
60,Employee_60,Finance,58907,14
61,Employee_61,It,26235,2
62,Employee_62,Finance,62445,9
63,Employee_63,Hr,42244,5
64,Employee_64,It,54915,8
65,Employee_65,Hr,34582,5
66,Employee_66,Hr,57694,9
67,Employee_67,It,49541,12
68,Employee_68,It,50950,15
69,Employee_69,Finance,63647,10
70,Employee_70,Finance,31412,7
71,Employee_71,Sales,85751,1
72,Employee_72,Finance,85628,8
73,Employee_73,It,79929,10
74,Employee_74,It,85419,4
75,Employee_75,Sales,43897,15
76,Employee_76,Sales,41606,9
77,Employee_77,Finance,36960,10
78,Employee_78,Finance,57307,3
79,Employee_79,Sales,34427,3
80,Employee_80,Sales,40092,8
81,Employee_81,It,50277,12
82,Employee_82,It,35067,5
83,Employee_83,It,37091,2
84,Employee_84,Sales,55202,1
85,Employee_85,It,35035,9
86,Employee_86,Hr,49681,12
87,Employee_87,Finance,39694,4
88,Employee_88,Hr,35900,1
89,Employee_89,Hr,69026,1
90,Employee_90,Sales,63104,1
91,Employee_91,It,43566,8
92,Employee_92,Finance,31035,2
93,Employee_93,Finance,35938,12
94,Employee_94,Sales,30626,9
95,Employee_95,Hr,39394,1
96,Employee_96,Finance,48963,9
97,Employee_97,Finance,43428,10
98,Employee_98,Sales,73294,2
99,Employee_99,It,38672,12
100,Employee_100,Sales,62084,13
