doc_id,text
1,the product was bad and the experience was average.
2,the delivery was bad and the experience was average.
3,the price was bad and the experience was excellent.
4,the product was average and the experience was good.
5,the product was poor and the experience was poor.
6,the support was excellent and the experience was bad.
7,the product was bad and the experience was bad.
8,the delivery was poor and the experience was excellent.
9,the service was average and the experience was excellent.
10,the product was poor and the experience was average.
11,the support was bad and the experience was good.
12,the support was poor and the experience was good.
13,the service was bad and the experience was good.
14,the delivery was poor and the experience was excellent.
15,the product was excellent and the experience was excellent.
16,the service was good and the experience was bad.
17,the support was average and the experience was good.
18,the support was average and the experience was good.
19,the support was average and the experience was excellent.
20,the delivery was average and the experience was excellent.
21,the support was poor and the experience was bad.
22,the price was poor and the experience was good.
23,the product was good and the experience was good.
24,the support was average and the experience was bad.
25,the product was average and the experience was average.
26,the price was bad and the experience was bad.
27,the delivery was average and the experience was good.
28,the product was bad and the experience was good.
29,the service was excellent and the experience was excellent.
30,the delivery was excellent and the experience was average.
31,the product was poor and the experience was good.
32,the price was bad and the experience was bad.
33,the service was excellent and the experience was excellent.
34,the support was bad and the experience was bad.
35,the support was excellent and the experience was bad.
36,the price was poor and the experience was poor.
37,the support was bad and the experience was good.
38,the product was poor and the experience was average.
39,the support was poor and the experience was average.
40,the service was average and the experience was average.
41,the support was excellent and the experience was average.
42,the service was good and the experience was average.
43,the product was average and the experience was excellent.
44,the price was bad and the experience was good.
45,the delivery was good and the experience was bad.
46,the price was good and the experience was good.
47,the support was poor and the experience was excellent.
48,the service was bad and the experience was poor.
49,the product was good and the experience was good.
50,the support was bad and the experience was average.
51,the support was poor and the experience was poor.
52,the delivery was average and the experience was bad.
53,the service was good and the experience was excellent.
54,the price was poor and the experience was good.
55,the price was excellent and the experience was bad.
56,the product was good and the experience was average.
57,the support was good and the experience was excellent.
58,the price was poor and the experience was excellent.
59,the price was bad and the experience was poor.
60,the support was excellent and the experience was average.
61,the service was excellent and the experience was excellent.
62,the delivery was average and the experience was average.
63,the support was good and the experience was average.
64,the service was good and the experience was average.
65,the product was good and the experience was good.
66,the support was average and the experience was poor.
67,the price was good and the experience was average.
68,the delivery was poor and the experience was good.
69,the delivery was poor and the experience was poor.
70,the delivery was bad and the experience was poor.
71,the support was bad and the experience was poor.
72,the price was poor and the experience was excellent.
73,the price was bad and the experience was poor.
74,the service was poor and the experience was poor.
75,the product was bad and the experience was good.
76,the delivery was poor and the experience was poor.
77,the product was excellent and the experience was average.
78,the support was bad and the experience was average.
79,the delivery was good and the experience was good.
80,the service was average and the experience was bad.
81,the support was poor and the experience was good.
82,the delivery was poor and the experience was poor.
83,the support was poor and the experience was poor.
84,the price was good and the experience was good.
85,the price was excellent and the experience was average.
86,the price was poor and the experience was excellent.
87,the price was excellent and the experience was average.
88,the delivery was average and the experience was poor.
89,the price was excellent and the experience was average.
90,the delivery was excellent and the experience was good.
91,the support was bad and the experience was excellent.
92,the support was good and the experience was average.
93,the support was bad and the experience was average.
94,the support was excellent and the experience was average.
95,the delivery was average and the experience was bad.
96,the support was bad and the experience was poor.
97,the delivery was average and the experience was average.
98,the service was excellent and the experience was average.
99,the support was good and the experience was excellent.
100,the price was good and the experience was average.
