doc_id,text
1,The product was bad and the experience was average.
2,The delivery was bad and the experience was average.
3,The price was bad and the experience was excellent.
4,The product was average and the experience was good.
5,The product was poor and the experience was poor.
6,The support was excellent and the experience was bad.
7,The product was bad and the experience was bad.
8,The delivery was poor and the experience was excellent.
9,The service was average and the experience was excellent.
10,The product was poor and the experience was average.
11,The support was bad and the experience was good.
12,The support was poor and the experience was good.
13,The service was bad and the experience was good.
14,The delivery was poor and the experience was excellent.
15,The product was excellent and the experience was excellent.
16,The service was good and the experience was bad.
17,The support was average and the experience was good.
18,The support was average and the experience was good.
19,The support was average and the experience was excellent.
20,The delivery was average and the experience was excellent.
21,The support was poor and the experience was bad.
22,The price was poor and the experience was good.
23,The product was good and the experience was good.
24,The support was average and the experience was bad.
25,The product was average and the experience was average.
26,The price was bad and the experience was bad.
27,The delivery was average and the experience was good.
28,The product was bad and the experience was good.
29,The service was excellent and the experience was excellent.
30,The delivery was excellent and the experience was average.
31,The product was poor and the experience was good.
32,The price was bad and the experience was bad.
33,The service was excellent and the experience was excellent.
34,The support was bad and the experience was bad.
35,The support was excellent and the experience was bad.
36,The price was poor and the experience was poor.
37,The support was bad and the experience was good.
38,The product was poor and the experience was average.
39,The support was poor and the experience was average.
40,The service was average and the experience was average.
41,The support was excellent and the experience was average.
42,The service was good and the experience was average.
43,The product was average and the experience was excellent.
44,The price was bad and the experience was good.
45,The delivery was good and the experience was bad.
46,The price was good and the experience was good.
47,The support was poor and the experience was excellent.
48,The service was bad and the experience was poor.
49,The product was good and the experience was good.
50,The support was bad and the experience was average.
51,The support was poor and the experience was poor.
52,The delivery was average and the experience was bad.
53,The service was good and the experience was excellent.
54,The price was poor and the experience was good.
55,The price was excellent and the experience was bad.
56,The product was good and the experience was average.
57,The support was good and the experience was excellent.
58,The price was poor and the experience was excellent.
59,The price was bad and the experience was poor.
60,The support was excellent and the experience was average.
61,The service was excellent and the experience was excellent.
62,The delivery was average and the experience was average.
63,The support was good and the experience was average.
64,The service was good and the experience was average.
65,The product was good and the experience was good.
66,The support was average and the experience was poor.
67,The price was good and the experience was average.
68,The delivery was poor and the experience was good.
69,The delivery was poor and the experience was poor.
70,The delivery was bad and the experience was poor.
71,The support was bad and the experience was poor.
72,The price was poor and the experience was excellent.
73,The price was bad and the experience was poor.
74,The service was poor and the experience was poor.
75,The product was bad and the experience was good.
76,The delivery was poor and the experience was poor.
77,The product was excellent and the experience was average.
78,The support was bad and the experience was average.
79,The delivery was good and the experience was good.
80,The service was average and the experience was bad.
81,The support was poor and the experience was good.
82,The delivery was poor and the experience was poor.
83,The support was poor and the experience was poor.
84,The price was good and the experience was good.
85,The price was excellent and the experience was average.
86,The price was poor and the experience was excellent.
87,The price was excellent and the experience was average.
88,The delivery was average and the experience was poor.
89,The price was excellent and the experience was average.
90,The delivery was excellent and the experience was good.
91,The support was bad and the experience was excellent.
92,The support was good and the experience was average.
93,The support was bad and the experience was average.
94,The support was excellent and the experience was average.
95,The delivery was average and the experience was bad.
96,The support was bad and the experience was poor.
97,The delivery was average and the experience was average.
98,The service was excellent and the experience was average.
99,The support was good and the experience was excellent.
100,The price was good and the experience was average.
