employee_id,name,department,salary,experience_years
1,Employee_1,IT,30754,3
2,Employee_2,Finance,81729,5
3,Employee_3,Finance,49183,7
4,Employee_4,Sales,44222,0
5,Employee_5,Finance,38537,10
6,Employee_6,Finance,42424,13
7,Employee_7,Sales,67922,10
8,Employee_8,IT,32992,3
9,Employee_9,HR,68692,12
10,Employee_10,Sales,54443,9
11,Employee_11,Finance,56383,10
12,Employee_12,Sales,64108,10
13,Employee_13,Finance,31242,13
14,Employee_14,Finance,43003,0
15,Employee_15,Sales,43558,10
16,Employee_16,IT,47820,7
17,Employee_17,Sales,84836,1
18,Employee_18,Sales,48597,13
19,Employee_19,HR,85149,12
20,Employee_20,Sales,73219,0
21,Employee_21,HR,62485,12
22,Employee_22,HR,66980,0
23,Employee_23,HR,49245,0
24,Employee_24,Sales,82646,11
25,Employee_25,HR,59808,5
26,Employee_26,IT,76567,7
27,Employee_27,Sales,55528,11
28,Employee_28,HR,28871,0
29,Employee_29,IT,67075,2
30,Employee_30,HR,45625,1
31,Employee_31,IT,34963,9
32,Employee_32,HR,72881,15
33,Employee_33,HR,78551,5
34,Employee_34,Finance,47961,3
35,Employee_35,Sales,50935,12
36,Employee_36,IT,87019,5
37,Employee_37,HR,26832,8
38,Employee_38,IT,69755,9
39,Employee_39,HR,78404,9
40,Employee_40,Finance,74519,9
41,Employee_41,IT,68430,10
42,Employee_42,IT,86435,3
43,Employee_43,IT,38218,2
44,Employee_44,HR,39888,10
45,Employee_45,IT,67216,9
46,Employee_46,Sales,89872,10
47,Employee_47,Finance,85811,10
48,Employee_48,Sales,79236,6
49,Employee_49,IT,77665,12
50,Employee_50,Finance,65850,1
51,Employee_51,HR,72578,1
52,Employee_52,Sales,34128,9
53,Employee_53,Finance,80617,4
54,Employee_54,IT,81489,5
55,Employee_55,Sales,79459,8
56,Employee_56,IT,84070,3
57,Employee_57,Finance,51327,5
58,Employee_58,Finance,40959,7
59,Employee_59,HR,64884,12
60,Employee_60,Finance,58907,14
61,Employee_61,IT,26235,2
62,Employee_62,Finance,62445,9
63,Employee_63,HR,42244,5
64,Employee_64,IT,54915,8
65,Employee_65,HR,34582,5
66,Employee_66,HR,57694,9
67,Employee_67,IT,49541,12
68,Employee_68,IT,50950,15
69,Employee_69,Finance,63647,10
70,Employee_70,Finance,31412,7
71,Employee_71,Sales,85751,1
72,Employee_72,Finance,85628,8
73,Employee_73,IT,79929,10
74,Employee_74,IT,85419,4
75,Employee_75,Sales,43897,15
76,Employee_76,Sales,41606,9
77,Employee_77,Finance,36960,10
78,Employee_78,Finance,57307,3
79,Employee_79,Sales,34427,3
80,Employee_80,Sales,40092,8
81,Employee_81,IT,50277,12
82,Employee_82,IT,35067,5
83,Employee_83,IT,37091,2
84,Employee_84,Sales,55202,1
85,Employee_85,IT,35035,9
86,Employee_86,HR,49681,12
87,Employee_87,Finance,39694,4
88,Employee_88,HR,35900,1
89,Employee_89,HR,69026,1
90,Employee_90,Sales,63104,1
91,Employee_91,IT,43566,8
92,Employee_92,Finance,31035,2
93,Employee_93,Finance,35938,12
94,Employee_94,Sales,30626,9
95,Employee_95,HR,39394,1
96,Employee_96,Finance,48963,9
97,Employee_97,Finance,43428,10
98,Employee_98,Sales,73294,2
99,Employee_99,IT,38672,12
100,Employee_100,Sales,62084,13
